GADE,Game,Platform,Hours,Narcissism,Gender,Work,Degree,GAD_T,SWL_T,SPIN_T
Somewhat difficult,Other,PC,12.0,3.0,Male,Student at college / university,High school diploma (or equivalent),5,27,11.0
Somewhat difficult,Other,PC,25.0,2.0,Male,Student at college / university,Bachelor (or equivalent),8,11,34.0
Somewhat difficult,Other,Smartphone / Tablet,9.0,2.0,Male,Student at college / university,High school diploma (or equivalent),18,23,
Somewhat difficult,Starcraft 2,PC,6.0,2.0,Male,Student at college / university,Bachelor (or equivalent),4,14,13.0
Somewhat difficult,League of Legends,PC,20.0,1.0,Male,Student at college / university,,8,23,13.0
Very difficult,Other,"Console (PS, Xbox, ...)",6.0,2.0,Female,Student at school,High school diploma (or equivalent),12,7,11.0
Not difficult at all,Other,PC,20.0,2.0,Female,Student at college / university,High school diploma (or equivalent),6,14,47.0
Extremely difficult,Other,"Console (PS, Xbox, ...)",10.0,1.0,Male,Student at college / university,High school diploma (or equivalent),17,13,31.0
Somewhat difficult,Starcraft 2,PC,8.0,2.0,Male,Student at college / university,Bachelor (or equivalent),5,18,16.0
,Starcraft 2,PC,25.0,1.0,Male,Student at school,,0,25,
Not difficult at all,Starcraft 2,PC,25.0,1.0,Male,Employed,Bachelor (or equivalent),1,24,15.0
Somewhat difficult,Starcraft 2,PC,16.0,1.0,Male,Student at college / university,High school diploma (or equivalent),11,16,45.0
Not difficult at all,League of Legends,PC,20.0,3.0,Male,Student at college / university,High school diploma (or equivalent),1,23,15.0
,Starcraft 2,PC,15.0,2.0,Male,Unemployed / between jobs,High school diploma (or equivalent),0,18,16.0
Not difficult at all,Other,PC,50.0,3.0,Male,Unemployed / between jobs,High school diploma (or equivalent),0,29,5.0
Very difficult,League of Legends,PC,12.0,2.0,Male,Student at college / university,High school diploma (or equivalent),13,8,50.0
Extremely difficult,League of Legends,PC,28.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),15,7,33.0
Somewhat difficult,League of Legends,PC,25.0,4.0,Male,Student at college / university,High school diploma (or equivalent),3,19,21.0
Not difficult at all,League of Legends,PC,42.0,3.0,Male,Employed,Bachelor (or equivalent),0,30,15.0
Extremely difficult,League of Legends,PC,20.0,1.0,Female,Employed,High school diploma (or equivalent),15,8,21.0
Somewhat difficult,League of Legends,PC,14.0,1.0,Male,Student at college / university,High school diploma (or equivalent),5,11,11.0
Somewhat difficult,Starcraft 2,PC,80.0,2.0,Male,Student at college / university,,9,15,37.0
Somewhat difficult,League of Legends,PC,50.0,2.0,Male,Student at college / university,High school diploma (or equivalent),9,8,34.0
Somewhat difficult,League of Legends,PC,40.0,1.0,Male,Student at college / university,High school diploma (or equivalent),7,11,35.0
Somewhat difficult,League of Legends,PC,10.0,1.0,Female,Employed,High school diploma (or equivalent),2,16,25.0
Not difficult at all,Starcraft 2,PC,10.0,2.0,Male,Student at college / university,High school diploma (or equivalent),2,30,12.0
Somewhat difficult,League of Legends,PC,28.0,1.0,Male,Student at college / university,Bachelor (or equivalent),4,19,4.0
Somewhat difficult,League of Legends,PC,30.0,2.0,Male,Unemployed / between jobs,Bachelor (or equivalent),8,8,22.0
Not difficult at all,Heroes of the Storm,PC,20.0,1.0,Male,Student at college / university,High school diploma (or equivalent),8,11,33.0
Very difficult,League of Legends,PC,28.0,3.0,Male,Employed,High school diploma (or equivalent),17,5,34.0
Not difficult at all,League of Legends,PC,40.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),4,17,26.0
Somewhat difficult,League of Legends,PC,30.0,1.0,Male,Student at school,High school diploma (or equivalent),3,9,40.0
Not difficult at all,League of Legends,PC,30.0,2.0,Male,Employed,High school diploma (or equivalent),13,29,46.0
Somewhat difficult,Other,PC,30.0,2.0,Female,Student at college / university,High school diploma (or equivalent),2,23,17.0
Not difficult at all,League of Legends,PC,17.0,4.0,Male,Employed,High school diploma (or equivalent),6,17,11.0
Not difficult at all,League of Legends,PC,30.0,1.0,Male,Employed,High school diploma (or equivalent),3,19,6.0
Somewhat difficult,League of Legends,PC,7.0,1.0,Male,Employed,Master (or equivalent),4,22,18.0
Somewhat difficult,Starcraft 2,PC,14.0,2.0,Male,Unemployed / between jobs,High school diploma (or equivalent),7,6,46.0
Somewhat difficult,League of Legends,PC,30.0,2.0,Male,Student at college / university,Bachelor (or equivalent),6,21,28.0
Somewhat difficult,League of Legends,PC,25.0,1.0,Male,Unemployed / between jobs,Bachelor (or equivalent),3,12,
Not difficult at all,League of Legends,PC,10.0,1.0,Female,Student at college / university,High school diploma (or equivalent),5,31,27.0
Somewhat difficult,World of Warcraft,PC,45.0,3.0,Male,Employed,,7,22,43.0
Somewhat difficult,League of Legends,PC,40.0,2.0,Female,Student at school,High school diploma (or equivalent),11,27,7.0
Not difficult at all,League of Legends,PC,12.0,4.0,Male,Employed,"Ph.D., Psy. D., MD (or equivalent)",1,31,5.0
Somewhat difficult,League of Legends,PC,16.0,1.0,Male,Student at college / university,High school diploma (or equivalent),7,21,14.0
Somewhat difficult,Starcraft 2,PC,13.0,3.0,Male,Student at college / university,Master (or equivalent),6,31,19.0
Not difficult at all,Counter Strike,PC,20.0,1.0,Male,Student at school,,1,13,13.0
Not difficult at all,League of Legends,PC,16.0,1.0,Male,Student at school,High school diploma (or equivalent),1,27,2.0
Extremely difficult,Other,Smartphone / Tablet,10.0,1.0,Male,Employed,High school diploma (or equivalent),18,12,30.0
Not difficult at all,League of Legends,PC,12.0,3.0,Male,Employed,High school diploma (or equivalent),2,22,16.0
Somewhat difficult,League of Legends,PC,21.0,1.0,Male,Student at college / university,High school diploma (or equivalent),10,16,23.0
Somewhat difficult,League of Legends,PC,5.0,1.0,Male,Employed,High school diploma (or equivalent),3,24,8.0
Not difficult at all,League of Legends,PC,40.0,2.0,Male,Student at college / university,High school diploma (or equivalent),4,20,14.0
Not difficult at all,Starcraft 2,PC,10.0,2.0,Male,Student at college / university,High school diploma (or equivalent),3,15,13.0
Not difficult at all,League of Legends,PC,11.0,1.0,Male,Student at college / university,High school diploma (or equivalent),5,25,8.0
Not difficult at all,Other,PC,15.0,3.0,Male,Employed,High school diploma (or equivalent),2,14,35.0
Not difficult at all,League of Legends,PC,30.0,2.0,Male,Student at college / university,High school diploma (or equivalent),5,25,36.0
Somewhat difficult,League of Legends,PC,12.0,3.0,Male,Student at college / university,High school diploma (or equivalent),9,20,32.0
Not difficult at all,Starcraft 2,PC,15.0,3.0,Male,Student at college / university,High school diploma (or equivalent),4,31,4.0
Not difficult at all,League of Legends,PC,30.0,1.0,Male,Employed,High school diploma (or equivalent),2,26,12.0
Not difficult at all,Starcraft 2,PC,20.0,2.0,Male,Employed,Master (or equivalent),0,24,3.0
,League of Legends,PC,30.0,1.0,Male,Unemployed / between jobs,Bachelor (or equivalent),0,22,2.0
Not difficult at all,League of Legends,PC,21.0,2.0,Male,Student at college / university,High school diploma (or equivalent),6,8,0.0
Not difficult at all,League of Legends,PC,50.0,2.0,Male,Student at college / university,Bachelor (or equivalent),3,13,22.0
Not difficult at all,League of Legends,PC,20.0,2.0,Male,Student at college / university,High school diploma (or equivalent),1,18,3.0
Somewhat difficult,League of Legends,PC,25.0,2.0,Male,Employed,Bachelor (or equivalent),6,23,6.0
Somewhat difficult,League of Legends,PC,17.0,1.0,Male,Student at college / university,High school diploma (or equivalent),1,27,10.0
Not difficult at all,League of Legends,PC,50.0,1.0,Male,Unemployed / between jobs,,1,31,10.0
Somewhat difficult,Counter Strike,PC,80.0,3.0,Male,Unemployed / between jobs,,1,15,1.0
Not difficult at all,Other,PC,15.0,1.0,Male,Employed,Bachelor (or equivalent),1,24,9.0
Not difficult at all,League of Legends,PC,10.0,4.0,Male,Student at college / university,Bachelor (or equivalent),4,21,2.0
Not difficult at all,Starcraft 2,PC,10.0,1.0,Male,Student at college / university,Master (or equivalent),11,14,23.0
Somewhat difficult,League of Legends,PC,10.0,3.0,Male,Employed,High school diploma (or equivalent),3,8,
Not difficult at all,Starcraft 2,PC,40.0,5.0,Male,Employed,High school diploma (or equivalent),9,22,23.0
Not difficult at all,League of Legends,PC,10.0,1.0,Male,Student at college / university,High school diploma (or equivalent),0,28,1.0
Somewhat difficult,Starcraft 2,PC,7.0,3.0,Male,Student at college / university,High school diploma (or equivalent),3,23,10.0
Very difficult,League of Legends,PC,25.0,2.0,Male,Student at college / university,High school diploma (or equivalent),7,15,41.0
Not difficult at all,League of Legends,PC,10.0,,Male,Student at school,High school diploma (or equivalent),3,21,
Somewhat difficult,League of Legends,PC,20.0,4.0,Male,Student at college / university,Bachelor (or equivalent),4,30,8.0
Not difficult at all,League of Legends,PC,14.0,3.0,Male,Employed,Bachelor (or equivalent),3,33,8.0
Not difficult at all,Starcraft 2,PC,30.0,2.0,Male,Student at college / university,High school diploma (or equivalent),1,21,18.0
Somewhat difficult,Starcraft 2,PC,15.0,2.0,Male,Employed,Master (or equivalent),1,25,12.0
Somewhat difficult,League of Legends,PC,13.0,3.0,Male,Student at school,,9,20,22.0
Somewhat difficult,League of Legends,PC,20.0,2.0,Male,Student at school,,4,17,26.0
Somewhat difficult,League of Legends,PC,12.0,2.0,Male,Unemployed / between jobs,Bachelor (or equivalent),14,13,8.0
Somewhat difficult,League of Legends,PC,35.0,3.0,Male,Student at college / university,Bachelor (or equivalent),3,17,48.0
Not difficult at all,League of Legends,PC,7.0,2.0,Male,Student at college / university,,5,18,9.0
Not difficult at all,League of Legends,PC,30.0,3.0,Male,Student at college / university,Bachelor (or equivalent),1,29,19.0
Somewhat difficult,Destiny,"Console (PS, Xbox, ...)",14.0,1.0,Male,Employed,"Ph.D., Psy. D., MD (or equivalent)",10,17,38.0
Somewhat difficult,League of Legends,PC,10.0,1.0,Female,Student at college / university,High school diploma (or equivalent),6,17,34.0
Not difficult at all,League of Legends,PC,70.0,1.0,Male,Student at college / university,High school diploma (or equivalent),2,13,4.0
Somewhat difficult,League of Legends,PC,40.0,3.0,Male,Student at school,High school diploma (or equivalent),11,12,26.0
,Starcraft 2,PC,15.0,4.0,Male,Employed,"Ph.D., Psy. D., MD (or equivalent)",0,31,0.0
Somewhat difficult,League of Legends,PC,8.0,1.0,Male,Student at college / university,Bachelor (or equivalent),12,11,32.0
Not difficult at all,League of Legends,PC,8.0,2.0,Male,Employed,Master (or equivalent),0,12,5.0
Not difficult at all,League of Legends,PC,30.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),1,15,21.0
Somewhat difficult,Starcraft 2,PC,0.0,2.0,Male,Employed,High school diploma (or equivalent),7,12,26.0
Not difficult at all,League of Legends,PC,40.0,3.0,Male,Unemployed / between jobs,High school diploma (or equivalent),0,9,19.0
Not difficult at all,League of Legends,PC,21.0,3.0,Male,Student at school,,8,17,51.0
Somewhat difficult,League of Legends,PC,50.0,2.0,Male,Student at school,,8,25,21.0
Somewhat difficult,League of Legends,PC,20.0,2.0,Male,Student at school,High school diploma (or equivalent),4,22,12.0
Not difficult at all,League of Legends,PC,12.0,3.0,Male,Employed,High school diploma (or equivalent),2,25,11.0
,Starcraft 2,PC,25.0,1.0,Male,Student at college / university,Master (or equivalent),0,35,2.0
Somewhat difficult,Other,PC,13.0,2.0,Male,Employed,Bachelor (or equivalent),8,21,35.0
Very difficult,League of Legends,PC,20.0,4.0,Male,Student at college / university,Bachelor (or equivalent),19,15,28.0
Not difficult at all,League of Legends,PC,8.0,3.0,Male,Employed,Bachelor (or equivalent),8,18,17.0
Not difficult at all,Starcraft 2,PC,8.0,2.0,Male,Employed,Bachelor (or equivalent),0,24,9.0
,League of Legends,PC,18.0,1.0,Male,Student at school,,0,17,1.0
Somewhat difficult,Starcraft 2,PC,20.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),6,27,23.0
Not difficult at all,League of Legends,PC,30.0,2.0,Male,Student at college / university,Bachelor (or equivalent),0,17,7.0
Somewhat difficult,League of Legends,PC,10.0,3.0,Male,Student at college / university,Master (or equivalent),7,18,20.0
Not difficult at all,Starcraft 2,PC,5.0,1.0,Male,Student at college / university,High school diploma (or equivalent),0,23,27.0
Somewhat difficult,League of Legends,PC,15.0,2.0,Male,Student at school,High school diploma (or equivalent),5,22,23.0
Not difficult at all,Other,"Console (PS, Xbox, ...)",16.0,1.0,Male,Employed,High school diploma (or equivalent),4,28,8.0
Not difficult at all,League of Legends,PC,30.0,1.0,Male,Employed,High school diploma (or equivalent),2,20,23.0
Somewhat difficult,League of Legends,PC,5.0,2.0,Male,Student at school,,4,23,7.0
Not difficult at all,League of Legends,PC,7.0,2.0,Male,Employed,Bachelor (or equivalent),2,25,8.0
Not difficult at all,League of Legends,PC,14.0,1.0,Male,Student at college / university,High school diploma (or equivalent),6,19,31.0
Not difficult at all,Hearthstone,PC,50.0,2.0,Male,Student at college / university,High school diploma (or equivalent),1,15,
Not difficult at all,League of Legends,PC,30.0,1.0,Male,Student at college / university,High school diploma (or equivalent),2,24,1.0
Extremely difficult,League of Legends,PC,20.0,2.0,Male,Unemployed / between jobs,High school diploma (or equivalent),14,10,18.0
Somewhat difficult,League of Legends,PC,15.0,1.0,Male,Employed,High school diploma (or equivalent),7,19,40.0
Not difficult at all,League of Legends,PC,25.0,3.0,Male,Employed,,1,17,31.0
Somewhat difficult,Starcraft 2,PC,10.0,3.0,Male,Employed,Master (or equivalent),21,35,5.0
Somewhat difficult,League of Legends,PC,2.0,2.0,Male,Student at college / university,High school diploma (or equivalent),7,16,30.0
Somewhat difficult,League of Legends,PC,30.0,1.0,Male,Student at school,High school diploma (or equivalent),1,20,21.0
Somewhat difficult,League of Legends,PC,20.0,1.0,Male,Student at school,Bachelor (or equivalent),1,24,30.0
Not difficult at all,League of Legends,PC,20.0,3.0,Male,Employed,Bachelor (or equivalent),4,20,18.0
Somewhat difficult,League of Legends,PC,30.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),4,14,35.0
Somewhat difficult,Other,PC,35.0,3.0,Male,Employed,Master (or equivalent),8,19,24.0
Not difficult at all,Other,PC,24.0,1.0,Female,Student at school,High school diploma (or equivalent),4,11,23.0
Not difficult at all,League of Legends,PC,20.0,1.0,Male,Student at school,"Ph.D., Psy. D., MD (or equivalent)",1,34,0.0
Not difficult at all,League of Legends,PC,25.0,1.0,Male,Student at college / university,High school diploma (or equivalent),1,17,3.0
Very difficult,Diablo 3,PC,50.0,3.0,Female,Unemployed / between jobs,High school diploma (or equivalent),15,5,50.0
Somewhat difficult,League of Legends,PC,14.0,2.0,Male,Student at school,,1,15,22.0
Not difficult at all,Starcraft 2,PC,12.0,2.0,Male,Student at school,,5,26,9.0
Somewhat difficult,League of Legends,PC,20.0,2.0,Female,Employed,Bachelor (or equivalent),9,23,37.0
Somewhat difficult,League of Legends,PC,16.0,1.0,Male,Employed,Master (or equivalent),2,29,12.0
Not difficult at all,League of Legends,PC,20.0,1.0,Male,Student at college / university,Bachelor (or equivalent),3,16,15.0
Somewhat difficult,League of Legends,PC,16.0,3.0,Male,Employed,Bachelor (or equivalent),6,34,25.0
Somewhat difficult,Starcraft 2,PC,20.0,1.0,Male,Student at college / university,Master (or equivalent),6,23,18.0
Not difficult at all,League of Legends,PC,28.0,2.0,Male,Student at school,High school diploma (or equivalent),3,18,10.0
Somewhat difficult,League of Legends,PC,10.0,1.0,Male,Employed,Master (or equivalent),6,24,8.0
Not difficult at all,League of Legends,PC,20.0,2.0,Male,Student at school,High school diploma (or equivalent),2,29,7.0
Somewhat difficult,Starcraft 2,PC,15.0,4.0,Male,Student at college / university,High school diploma (or equivalent),9,15,32.0
Somewhat difficult,League of Legends,PC,25.0,1.0,Male,Unemployed / between jobs,High school diploma (or equivalent),4,21,32.0
Somewhat difficult,League of Legends,PC,35.0,3.0,Male,Student at college / university,High school diploma (or equivalent),3,25,
Not difficult at all,League of Legends,PC,27.0,3.0,Male,Student at college / university,High school diploma (or equivalent),1,23,5.0
Somewhat difficult,League of Legends,PC,15.0,1.0,Male,Student at college / university,Master (or equivalent),2,24,17.0
Somewhat difficult,League of Legends,PC,15.0,2.0,Male,Student at school,,10,24,24.0
Somewhat difficult,League of Legends,PC,4.0,2.0,Male,Student at college / university,Bachelor (or equivalent),0,14,17.0
Not difficult at all,League of Legends,PC,35.0,4.0,Male,Student at school,,2,23,15.0
Not difficult at all,League of Legends,PC,10.0,3.0,Male,Employed,Bachelor (or equivalent),1,29,9.0
Not difficult at all,League of Legends,PC,10.0,1.0,Female,Employed,Bachelor (or equivalent),3,23,20.0
Not difficult at all,League of Legends,PC,35.0,2.0,Male,Unemployed / between jobs,High school diploma (or equivalent),8,10,1.0
Not difficult at all,Other,PC,5.0,1.0,Male,Student at college / university,High school diploma (or equivalent),2,31,5.0
Not difficult at all,League of Legends,PC,6.0,5.0,Male,Unemployed / between jobs,High school diploma (or equivalent),3,27,7.0
Somewhat difficult,League of Legends,PC,10.0,1.0,Male,Student at college / university,High school diploma (or equivalent),5,23,
Not difficult at all,League of Legends,PC,6.0,1.0,Male,Employed,Bachelor (or equivalent),0,30,8.0
Not difficult at all,League of Legends,PC,35.0,2.0,Male,Student at college / university,High school diploma (or equivalent),1,30,0.0
Somewhat difficult,League of Legends,PC,28.0,4.0,Male,Student at college / university,High school diploma (or equivalent),5,8,12.0
Not difficult at all,League of Legends,PC,15.0,2.0,Female,Student at college / university,High school diploma (or equivalent),2,11,39.0
Not difficult at all,League of Legends,PC,35.0,2.0,Male,Employed,Master (or equivalent),1,18,19.0
Not difficult at all,League of Legends,PC,40.0,4.0,Male,Unemployed / between jobs,Bachelor (or equivalent),3,10,2.0
Somewhat difficult,League of Legends,PC,25.0,4.0,Male,Student at college / university,High school diploma (or equivalent),3,12,48.0
Not difficult at all,League of Legends,PC,30.0,1.0,Male,Student at college / university,Bachelor (or equivalent),5,7,11.0
Somewhat difficult,Hearthstone,PC,20.0,1.0,Male,Student at college / university,High school diploma (or equivalent),7,11,34.0
Not difficult at all,League of Legends,PC,16.0,3.0,Male,Student at college / university,Bachelor (or equivalent),2,14,11.0
Not difficult at all,League of Legends,PC,9.0,1.0,Male,Employed,Bachelor (or equivalent),3,22,
Very difficult,League of Legends,PC,21.0,4.0,Male,Unemployed / between jobs,High school diploma (or equivalent),4,9,39.0
Very difficult,League of Legends,PC,40.0,1.0,Male,Student at college / university,High school diploma (or equivalent),13,12,52.0
